Name,Open,Close
Celsius,5.588709831237793,5.864846229553223
IOTA,0.9732990264892578,1.0405230522155762
Axie Infinity,69.71411895751953,73.35694885253906
chainlink,24.39,26.04
PAX Gold,1798.7894287109375,1821.8453369140625
Hedera,0.2385019958019256,0.2545340061187744
bitcoin cash,606.0,635.42
Kava,7.640571117401123,8.15080738067627
Elrond,134.68699645996094,141.06983947753906
Helium,20.588117599487305,22.77008438110352
Internet Computer,56.669918060302734,62.71674728393555
STEPN,9.420392990112305,9.37018585205078
xrp,1.07137,1.19123
Theta Network,6.528972148895264,6.952980041503906
Bitcoin Gold,63.43106460571289,69.5392074584961
Gnosis,313.0594787597656,299.2017822265625
near protocol,4.915,5.319
Synthetix,11.436821937561035,12.223566055297852
monero,291.621,315.037
eCash,7.599999662488699e-05,9.40000027185306e-05
Flow,21.395702362060547,22.16410255432129
KuCoin Token,12.393214225769045,13.343106269836426
Celo,3.538105010986328,4.1702561378479
Zilliqa,0.1056580021977424,0.1127799972891807
Convex Finance,6.6494622230529785,6.999957084655762
solana,75.062,87.897
Holo,0.0136780003085732,0.014139000326395
BitTorrent (New),0.003963999915868,0.0042790002189576
Waves,23.022705078125,24.62040138244629
uniswap,25.51,27.41
Neutrino USD,0.9953759908676147,1.000465989112854
Quant,186.24761962890625,195.5929412841797
polkadot,23.957,26.558
ethereum classic,59.7564,64.1054
The Graph,0.8663250207901001,0.9207890033721924
Loopring,0.494141012430191,0.4967879951000213
Aave,351.27056884765625,372.5262145996094
Zcash,144.1163787841797,152.14804077148438
The Sandbox,0.6792259812355042,0.7074790000915527
Basic Attention Token,0.79544997215271,0.8446109890937805
dogecoin,0.263296,0.289678
Klaytn,1.6389210224151611,1.745048999786377
Binance USD,1.0000760555267334,1.0000319480895996
Kusama,277.72247314453125,305.9044494628906
Shiba Inu,7.000000096013537e-06,7.000000096013537e-06
Neo,51.48831558227539,55.42911911010742
unus sed leo,2.9383,2.9858
cosmos,17.9704,20.4457
NEM,0.1910299956798553,0.1997900009155273
Lido DAO,5.961376190185547,6.082600116729736
Decentraland,0.8917989730834961,0.9302200078964232
Cronos,0.1489029973745346,0.1568820029497146
stellar,0.33506,0.35733
Algorand,0.9905869960784912,1.065106987953186
Arweave,25.64140892028809,38.34687042236328
EOS,4.7494940757751465,5.08466911315918
PancakeSwap,24.86124992370605,26.135805130004883
Mina,2.70531702041626,2.963354110717773
Curve DAO Token,2.05641508102417,2.1815309524536133
Bitcoin SV,155.40707397460938,161.5417938232422
tether,1.0003,1.0006
Decred,175.64646911621094,178.40176391601562
Pax Dollar,0.9998400211334229,1.0000699758529663
THORChain,9.505990982055664,10.372475624084473
polygon,1.373,1.517
ethereum,3093.78,3273.58
Bitcoin BEP2,47032.47265625,48256.296875
VeChain,0.1161149963736534,0.1281139999628067
1inch,2.925386905670166,3.211493015289306
Fei USD,0.9949510097503662,0.9929590225219728
litecoin,167.61,176.12
Qtum,11.83526611328125,12.848587036132812
Trust Wallet Token,0.8432350158691406,0.8980910181999207
bitcoin,46830.2,49064.3
cardano,2.5295,2.9459
Stacks,1.362676978111267,1.4289929866790771
Dash,232.40968322753903,242.22357177734372
Enjin Coin,1.8522789478302,2.0028679370880127
usd coin,0.9997,0.9994
Tezos,4.447629928588867,5.223711013793945
Huobi Token,13.363327980041504,14.303284645080566
Nexo,1.8511710166931152,1.9308160543441768
ftx token,45.8086,49.4881
dai,0.9999,0.9997
TrueUSD,1.000177979469299,1.0000079870224
tron,0.083073,0.088295
Fantom,0.4337030053138733,0.4923039972782135
BNB,478.6301574707031,494.4986877441406
Chiliz,0.3586010038852691,0.377362996339798
Filecoin,72.37336730957031,75.15064239501953
Gala,0.0325580015778541,0.0312700010836124
Maker,3587.05517578125,3746.96435546875
OKB,20.242944717407227,20.86827087402344
avalanche,41.32,50.04
